Station,PM2.5,Timestamp,Latitude,Longitude,Lines
"Platform 2 - Southbound, Northern Line",0.87,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.11,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.11,2024-05 to 2024-09,,,
"Platform 3  - Northbound, Victoria Line",1.06,2024-05 to 2024-09,,,
"Platform 5 - Southbound, Victoria Line",0.82,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.05,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.03,2024-05 to 2024-09,,,
"Platform 1 - Westbound, Central Line",0.66,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, Central Line",0.62,2024-05 to 2024-09,,,
"Platform 3 - Westbound, Piccadilly Line",0.71,2024-05 to 2024-09,,,
"Platform 4 - Eastbound, Piccadilly Line",0.93,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.03,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.15,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern Line",0.52,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern Line",0.75,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Northern Line",0.56,2024-05 to 2024-09,,,
"Platform 4 - Southbound, Northern Line",0.91,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.21,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.04,2024-05 to 2024-09,,,
"Platform 1 - Westbound, 
Circle/H&C/Metropolitan Line",0.2,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, 
Circle/H&C/Metropolitan Line",0.2,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Victoria Line",0.55,2024-05 to 2024-09,,,
"Platform 4 - Southbound, Victoria Line",0.31,2024-05 to 2024-09,,,
"Platform 5 - Westbound, Piccadilly Line",0.61,2024-05 to 2024-09,,,
"Platform 6 - Eastbound, Piccadilly Line",0.58,2024-05 to 2024-09,,,
"Platform 7 - Northbound, Northern Line",0.46,2024-05 to 2024-09,,,
"Platform 8 - Southbound, Northern Line",0.9,2024-05 to 2024-09,,,
"Ticket Hall/Gate Line - 
Circle/H&C/Metropolitan Line",0.11,2024-05 to 2024-09,,,
Ticket Hall/Gate Line - Main,0.06,2024-05 to 2024-09,,,
Outside Station Supervisor Office,0.52,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern Line",0.57,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern Line",0.55,2024-05 to 2024-09,,,
"Platform 3 - Westbound, Jubilee Line",0.61,2024-05 to 2024-09,,,
"Platform 4 - Eastbound, Jubilee Line",0.7,2024-05 to 2024-09,,,
Ticket Hall/Gate Line,0.55,2024-05 to 2024-09,,,
Personal - Duty No. 22,0.24,2024-05 to 2024-09,,,
"Platform 1 - Westbound, Central Line",0.37,2024-05 to 2024-09,,,
